,pred,true,mean,lookback_tercile_lag_1.0yr,lookback_tercile_lag_1.5yr,lookback_tercile_lag_2.0yr,lookback_tercile_lag_2.5yr,lookback_tercile_lag_3.0yr,lookback_tercile_lag_3.5yr,lookback_tercile_lag_4.0yr,lookback_tercile_lag_4.5yr,lookback_tercile_lag_5.0yr
2003-05-09,-1.1281262883472516,0.6492759585380554,0.19079332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-05-16,1.0816885040765891,0.6492759585380554,0.18740787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-05-23,-0.9628631341630942,0.6492759585380554,0.18075824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-05-30,-0.948133205078199,0.6492759585380554,0.17449927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-06,-2.125468460414949,2.51300311088562,0.030088745,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-06-13,-2.1283581194031265,2.51300311088562,0.0161179,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-06-20,-2.128430301654988,2.51300311088562,0.0057078167,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-06-27,-2.120175213156334,2.51300311088562,0.0028586406,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-07-04,0.3741293006468386,2.51300311088562,-0.03506162,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-07-11,0.1301405942135092,2.5791091918945312,-0.16106692,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-07-18,0.1550437572901298,2.5791091918945312,-0.13592106,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-07-25,0.162324368404613,2.5791091918945312,-0.12810864,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-08-01,0.15315436720155268,2.5791091918945312,-0.13881204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-08,0.931597137178545,-2.0404164791107178,-0.15912418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-15,0.945651002035736,-2.0404164791107178,-0.14325309,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-22,0.9631782394019508,-2.0404164791107178,-0.12602252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-29,0.9325242763062247,-2.0404164791107178,-0.14430912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-09-05,1.1727912714662005,-2.0404164791107178,-0.15445659,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-09-12,0.653698382016372,14.043880462646484,-0.12569875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-09-19,0.6551377531347911,14.043880462646484,-0.11876703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-09-26,0.6502756323125503,14.043880462646484,-0.11559769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-03,0.6699122364610016,14.043880462646484,-0.085624814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-10,0.7850894102193362,13.274052619934082,-0.045210514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-17,0.8321965771879365,13.274052619934082,-0.020759644,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-24,0.8969577946988054,13.274052619934082,0.028076414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-31,1.010744120096353,13.274052619934082,0.12504813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-11-07,1.567197648458234,-0.4056816101074219,0.1324791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-11-14,1.6686850949393486,-0.4056816101074219,0.18547587,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-11-21,1.755771621137856,-0.4056816101074219,0.23218237,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-11-28,1.7954646569175507,-0.4056816101074219,0.28373128,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-12-05,1.7846811838097592,-0.4056816101074219,0.23401983,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-12-12,1.916664218299763,1.7905967235565186,0.013819053,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-12-19,1.9012278004807486,1.7905967235565186,0.010638283,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-12-26,1.9012049409440341,1.7905967235565186,0.008320442,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-01-02,0.5794093507834981,1.7905967235565186,-0.08124995,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-01-09,2.4418307449950767,7.477557182312012,-0.2765428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-01-16,2.4092572862911465,7.477557182312012,-0.2673458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-01-23,2.4013095334554264,7.477557182312012,-0.25565016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-01-30,2.3476505852728233,7.477557182312012,-0.28608814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-02-06,1.605201889228847,1.9048194885253906,-0.3327419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-02-13,1.7223006537512098,1.9048194885253906,-0.28656778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-02-20,1.860425440206753,1.9048194885253906,-0.24106936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-02-27,1.9415375990213781,1.9048194885253906,-0.2330185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-03-05,2.0009379963216167,1.9048194885253906,-0.20000823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-03-12,1.0443228835020897,1.5382026433944702,-0.20964542,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-03-19,1.0761243309050779,1.5382026433944702,-0.1868498,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-03-26,1.1104540116201767,1.5382026433944702,-0.16190915,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-04-02,1.0902114789310504,1.5382026433944702,-0.17895213,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-04-09,-0.021189271411812816,5.676189422607422,-0.2584271,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-04-16,-0.04589578887165535,5.676189422607422,-0.27398196,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-04-23,-0.038956644579277167,5.676189422607422,-0.261872,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-04-30,-0.06438579394792165,5.676189422607422,-0.282507,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-05-07,0.684318605746896,1.0681253671646118,-0.27314693,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-05-14,0.7013582927024641,1.0681253671646118,-0.25611877,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-05-21,0.7397641100580811,1.0681253671646118,-0.22363432,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-05-28,0.770832217679846,1.0681253671646118,-0.19665359,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-06-04,0.8192508491204905,1.0681253671646118,-0.14639969,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-06-11,1.3132311789708644,2.089442491531372,-0.03353274,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-06-18,1.3022084428848029,2.089442491531372,-0.038380213,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-06-25,1.2929433303187372,2.089442491531372,-0.040812135,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-07-02,1.2657133766320139,2.089442491531372,-0.05920754,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-07-09,1.2571625974074607,7.0219879150390625,-0.06989997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-07-16,1.2185170957978506,7.0219879150390625,-0.07745228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-07-23,1.2450832650454327,7.0219879150390625,-0.062301695,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-07-30,1.1965687358345238,7.0219879150390625,-0.09855929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-08-06,1.9107697011123408,5.792192459106445,-0.21695104,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-08-13,1.9910649223915153,5.792192459106445,-0.1763961,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-08-20,2.0649120593817964,5.792192459106445,-0.13596629,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-08-27,2.129291024390048,5.792192459106445,-0.09805834,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-09-03,2.198805215521956,5.792192459106445,-0.080438815,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-09-10,1.5193305430217297,0.684350848197937,-0.059743933,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-09-17,1.5548608159076052,0.684350848197937,-0.03569358,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-09-24,1.5724201291822424,0.684350848197937,-0.01933765,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-10-01,1.635356510111886,0.684350848197937,0.03600393,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-10-08,1.7761461394424225,0.15142621099948883,0.27031997,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-10-15,1.743582690642326,0.15142621099948883,0.26498643,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-10-22,1.7132814497185538,0.15142621099948883,0.25982907,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-10-29,1.8473327993096582,0.15142621099948883,0.35513538,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-11-05,1.9693965906655995,0.15142621099948883,0.4619762,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-11-12,-0.17990237690208666,10.814769744873047,0.58742064,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-11-19,-0.19563415901696313,10.814769744873047,0.5714905,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-11-26,-0.21655978063663628,10.814769744873047,0.5419663,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-12-03,-0.18993817863246543,10.814769744873047,0.5676162,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-12-10,1.8985358637335072,3.0413169860839844,0.4979625,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-12-17,1.926579386272894,3.0413169860839844,0.52127385,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-12-24,1.9923901719401178,3.0413169860839844,0.5487458,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-12-31,2.001730649786177,3.0413169860839844,0.5463004,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-01-07,0.18661250011251995,-8.586127281188965,0.5534151,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-01-14,0.21391858191252489,-8.586127281188965,0.5935968,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-01-21,0.24638165362205766,-8.586127281188965,0.64161,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-01-28,0.965374845476275,-8.586127281188965,0.6241078,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-02-04,2.378238928066167,-2.2233834266662598,0.5094415,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-02-11,2.371954313880026,-2.2233834266662598,0.51395524,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-02-18,2.295667355715535,-2.2233834266662598,0.48730862,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-02-25,2.2208772572061957,-2.2233834266662598,0.46024156,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-03-04,2.1093685196293603,-2.2233834266662598,0.3763201,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-03-11,3.395927595277425,4.180670738220215,0.34627226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-03-18,3.1019039791762024,4.180670738220215,0.30131045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-03-25,2.975075115975553,4.180670738220215,0.28724483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-04-01,2.907586030562283,4.180670738220215,0.28749958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-04-08,0.6211395258978674,7.156571388244629,0.3349901,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-04-15,0.6378984558397126,7.156571388244629,0.35174742,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-04-22,0.65977036537411,7.156571388244629,0.37306073,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-04-29,0.7151687396076322,7.156571388244629,0.40614736,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-05-06,0.8500774922201,4.469244956970215,0.3600807,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-05-13,0.8938803819003436,4.469244956970215,0.4080955,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-05-20,0.9263608579528384,4.469244956970215,0.44174278,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-05-27,0.9527121641673761,4.469244956970215,0.46838126,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-06-03,0.9801108680571686,4.469244956970215,0.50223535,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-06-10,-0.5247407638589716,6.749416351318359,0.55933344,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-06-17,-0.46112347040313795,6.749416351318359,0.59164745,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-06-24,-0.5059992106927409,6.749416351318359,0.6167197,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-07-01,3.6973395715331443,6.749416351318359,0.64599776,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-07-08,2.9020000910785004,-4.903380393981934,0.8251754,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-07-15,2.9439296777408805,-4.903380393981934,0.8554187,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-07-22,2.972609724663548,-4.903380393981934,0.8791173,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-07-29,2.9988572759656176,-4.903380393981934,0.9023202,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-08-05,3.06920106584881,-4.903380393981934,0.94018966,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-08-12,1.7473464211610548,-4.356034278869629,1.0728724,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-08-19,1.7112991202585248,-4.356034278869629,1.0576792,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-08-26,1.676849302394925,-4.356034278869629,1.0423434,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-09-02,1.6834560793645115,-4.356034278869629,1.0497783,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-09-09,2.0211293566148134,-4.043576717376709,1.0784014,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-09-16,1.9654588844794008,-4.043576717376709,1.039558,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-09-23,1.9295164964987739,-4.043576717376709,1.0120577,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-09-30,1.9104678585545132,-4.043576717376709,0.9889845,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-10-07,1.2016161757484423,4.169668674468994,0.87993914,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-10-14,1.203655736445348,4.169668674468994,0.8818719,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-10-21,1.209412848443751,4.169668674468994,0.8871641,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-10-28,1.2041611572313724,4.169668674468994,0.87365955,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-11-04,1.1830878366478434,4.169668674468994,0.84970826,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-11-11,2.9379884122380977,5.1293253898620605,0.8584339,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-11-18,2.9509907775424327,5.1293253898620605,0.8742094,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-11-25,3.0295955040346025,5.1293253898620605,0.884216,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-12-02,3.170803516034763,5.1293253898620605,0.94226724,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-12-09,2.3077278732549527,-0.28968292474746704,0.9848751,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-12-16,2.3230807131720734,-0.28968292474746704,0.99086565,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-12-23,2.322417055830061,-0.28968292474746704,1.0089546,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-12-30,2.2953905161058397,-0.28968292474746704,1.0018778,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-01-06,0.9899528624053278,9.33452033996582,0.9513343,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-01-13,0.9653765040875258,9.33452033996582,0.9283175,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-01-20,0.9551974961029706,9.33452033996582,0.9209703,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-01-27,0.9201300275850086,9.33452033996582,0.8515285,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-02-03,0.8763393020018997,9.33452033996582,0.8208474,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-02-10,1.9121051470845558,3.8137805461883545,0.80589104,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-02-17,1.9395776790052177,3.8137805461883545,0.8276114,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-02-24,2.0003616739757177,3.8137805461883545,0.872192,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-03-03,2.0407412603560133,3.8137805461883545,0.92257524,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-03-10,1.2734154585453505,-9.513388633728027,1.0772362,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2006-03-17,1.301402944873243,-9.513388633728027,1.1011038,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2006-03-24,1.3249029085526485,-9.513388633728027,1.1043578,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2006-03-31,1.37101334542636,-9.513388633728027,1.1583997,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
2006-04-07,0.20477794724906695,0.66536945104599,1.270998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-04-14,0.15350472568704654,0.66536945104599,1.2348813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-04-21,0.07695438116111797,0.66536945104599,1.1766207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-04-28,0.014485509325995682,0.66536945104599,1.1343677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-05-05,-0.07005981258485794,0.66536945104599,1.0783293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-05-12,-0.31753983407736674,-1.8852111101150513,1.0266004,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2006-05-19,-0.30428921932544784,-1.8852111101150513,1.0255406,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2006-05-26,-0.3402274159628238,-1.8852111101150513,1.0020891,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2006-06-02,-0.2913787668707253,-1.8852111101150513,1.0429995,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
2006-06-09,0.286588441408794,-10.086734771728516,1.0873836,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-06-16,0.31201026801047305,-10.086734771728516,1.0983577,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
2006-06-23,-0.028167411613981175,-10.086734771728516,1.1109833,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-06-30,-0.014289963276014062,-10.086734771728516,1.1344142,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-07-07,-1.5173793270308344,0.08819280564785004,1.1618977,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-07-14,-1.570608067609653,0.08819280564785004,1.1250161,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-07-21,-1.6000469873008503,0.08819280564785004,1.100684,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-07-28,-1.6899201285567735,0.08819280564785004,1.0550407,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-08-04,-1.6905097909494233,0.08819280564785004,1.0502003,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-08-11,-1.6978816007159248,1.3931148052215576,1.1743714,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-08-18,-1.7472416679924874,1.3931148052215576,1.1463515,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2006-08-25,-1.7388416549081027,1.3931148052215576,1.1388583,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
